aperture,0.004,0.005,0.00625,0.008,0.01,0.0125,0.016666666666666666,0.02,0.025,0.03333333333333333,0.04,0.05,0.06666666666666667,0.07692307692307693,0.1,0.125,0.16666666666666666,0.2,0.25,0.3333333333333333,0.4,0.5,0.6,0.8,1.0,1.1,1.3,1.5,1.6,1.8,2.0,2.2,2.5,3.0,3.6,4.0,30.0
4.8,,,,,-2.13,-2.45,-2.87,-3.13,-3.45,-3.87,-4.13,-4.45,-4.87,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,
5.0,,,,,-2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.6,,,,-1.36,-1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,,,-0.67,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
