aperture,0.00025,0.0003125,0.0004,0.0005,0.000625,0.0008,0.001,0.00125,0.0015625,0.002,0.0025,0.003125,0.004,0.005,0.00625,0.008,0.01,0.0125,0.016666666666666666,0.02,0.025,0.03333333333333333,0.04,0.05,0.06666666666666667,0.07692307692307693,0.1,0.125,0.16666666666666666,0.2,0.25,0.3333333333333333,0.4,0.5,0.6,0.8,1.0
5.0,4.32,4.0,3.64,3.32,3.0,2.64,2.32,2.0,1.68,1.32,1.0,0.68,0.32,0.0,-0.32,-0.68,-1.0,-1.32,-1.74,-2.0,-2.32,-2.74,-3.0,-3.32,-3.74,-3.94,-4.32,-4.64,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
5.6,,,,,,,,,,,,,,0.33,,,,,,,,-2.41,,,,,,,,,,,,,,,
6.3,,,,,,,,,,,,,,0.67,,,,,,,,-2.07,,,,,,,,,,,,,,,
7.1,5.0,5.0,4.66,4.33,4.01,3.66,3.33,3.01,2.69,2.33,2.01,1.69,1.33,1.01,0.69,0.33,0.01,-0.31,-0.73,-0.99,-1.31,-1.73,-1.99,-2.31,-2.73,-2.93,-3.31,-3.63,-4.05,-4.31,-4.63,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
8.0,,,,,,,,,,,,,,1.36,,,,,,,,-1.38,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,1.7,,,,,,,,-1.04,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,2.0,,,,,,,,-0.74,,,,,,,,,,,,,,,
11.0,,,,,,,,,,,,,,2.28,,,,,,,,-0.46,,,,,,,,,,,,,,,
13.0,,,,,,,,,,,,,,2.76,,,,,,,,0.02,,,,,,,,,,,,,,,
14.0,,,,,,,,,,,,,,2.97,,,,,,,,0.23,,,,,,,,,,,,,,,
16.0,,,,,,,,,,,,,,3.36,,,,,,,,0.62,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,3.7,,,,,,,,0.96,,,,,,,,,,,,,,,
20.0,,,,,,,,,,,,,,4.0,,,,,,,,1.26,,,,,,,,,,,,,,,
22.0,,,,,,,,,,,,,,4.28,,,,,,,,1.54,,,,,,,,,,,,,,,
25.0,,,,,,,,,,,,,,4.64,,,,,,,,1.91,,,,,,,,,,,,,,,
29.0,,,,,,,,,,,,,,5.0,,,,,,,,2.34,,,,,,,,,,,,,,,
32.0,,,,,,,,,,,,,,5.0,,,,,,,,2.62,,,,,,,,,,,,,,,
